Variable name,Description
active,"IN YOUR USUAL DAY, HOW ACTIVE ARE YOU? IN 1971, 0:very active, 1:moderately active, 2:inactive"
age,AGE IN 1971
alcoholfreq,"HOW OFTEN DO YOU DRINK?  IN 1971  0: Almost every day, 1: 2-3 times/week, 2: 1-4 times/month, 3: < 12 times/year, 4: No alcohol last year, 5: Unknown"
alcoholhowmuch,"WHEN YOU DRINK, HOW MUCH DO YOU DRINK?  IN 1971"
alcoholpy,"HAVE YOU HAD 1 DRINK PAST YEAR? IN 1971,  1:EVER, 0:NEVER; 2:MISSING"
alcoholtype,"WHICH DO YOU MOST FREQUENTLY DRINK? IN 1971  1: BEER, 2: WINE, 3: LIQUOR, 4: OTHER/UNKNOWN"
allergies,"USE ALLERGIES MEDICATION IN 1971,  1:EVER, 0:NEVER"
asthma,"DX ASTHMA IN 1971, 1:EVER, 0:NEVER"
bithcontrol,"BIRTH CONTROL PILLS PAST 6 MONTHS? IN 1971 1:YES, 0:NO, 2:MISSING"
birthplace,CHECK STATE CODE - SECOND PAGE
boweltrouble,"USE BOWEL TROUBLE MEDICATION IN 1971,  1:EVER, 0:NEVER, ; 2:MISSING"
bronch,"DX CHRONIC BRONCHITIS/EMPHYSEMA IN 1971,  1:EVER, 0:NEVER"
cholesterol,SERUM CHOLESTEROL (MG/100ML) IN 1971
chroniccough,"DX CHRONIC COUGH IN 1971,  1:EVER, 0:NEVER"
colitis,"DX COLITIS IN 1971,  1:EVER, 0:NEVER"
dadth,DAY OF DEATH
dbp,DIASTOLIC BLOOD PRESSURE IN 1982
death,"DEATH BY 1992, 1:YES, 0:NO"
diabetes,"DX DIABETES IN 1971,  1:EVER, 0:NEVER, 2:MISSING"
education,"AMOUNT OF EDUCATION BY 1971: 1: 8TH GRADE OR LESS, 2: HS DROPOUT, 3: HS, 4:COLLEGE DROPOUT, 5: COLLEGE OR MORE"
exercise,"IN RECREATION, HOW MUCH EXERCISE? IN 1971, 0:much exercise,1:moderate exercise,2:little or no exercise"
hayfever,"DX HAY FEVER IN 1971, 1:EVER, 0:NEVER"
hbp,"DX HIGH BLOOD PRESSURE IN 1971, 1:EVER, 0:NEVER, 2:MISSING"
hbpmed,"USE HIGH BLOOD PRESSURE MEDICATION IN 1971,  1:EVER, 0:NEVER, ; 2:MISSING"
headache,"USE HEADACHE MEDICATION IN 1971,  1:EVER, 0:NEVER"
hepatitis,"DX HEPATITIS IN 1971,  1:EVER, 0:NEVER"
hf,"DX HEART FAILURE IN 1971, 1:EVER, 0:NEVER"
hightax82,"LIVING IN A HIGHLY TAXED STATE IN 1982, High taxed state of residence=1, 0 otherwise"
ht,HEIGHT IN CENTIMETERS IN 1971
income,"TOTAL FAMILY INCOME IN 1971  11:<$1000, 12: 1000-1999, 13: 2000-2999, 14: 3000-3999, 15: 4000-4999, 16: 5000-5999, 17: 6000-6999, 18: 7000-9999, 19: 10000-14999, 20: 15000-19999, 21: 20000-24999, 22: 25000+"
infection,"USE INFECTION MEDICATION IN 1971,  1:EVER, 0:NEVER"
lackpep,"USELACK OF PEP MEDICATION IN 1971,  1:EVER, 0:NEVER"
marital,"MARITAL STATUS IN 1971  1: Under 17, 2: Married, 3: Widowed, 4: Never married, 5: Divorced, 6: Separated, 8: Unknown"
modth,MONTH OF DEATH
nerves,"USE NERVES MEDICATION IN 1971,  1:EVER, 0:NEVER"
nervousbreak,"DX NERVOUS BREAKDOWN IN 1971,  1:EVER, 0:NEVER"
otherpain,"USE OTHER PAINS MEDICATION IN 1971,  1:EVER, 0:NEVER"
pepticulcer,"DX PEPTIC ULCER IN 1971,  1:EVER, 0:NEVER"
pica,"DO YOU EAT DIRT OR CLAY, STARCH OR OTHER NON STANDARD FOOD?  IN 1971  1:EVER, 0:NEVER; 2:MISSING"
polio,"DX POLIO IN 1971, 1:EVER, 0:NEVER"
pregnancies,TOTAL NUMBER OF PREGNANCIES? IN 1971
price71,AVG TOBACCO PRICE IN STATE OF RESIDENCE 1971 (US$2008)
price71_82,DIFFERENCE IN AVG TOBACCO PRICE IN STATE OF RESIDENCE 1971-1982 (US$2008)
price82,AVG TOBACCO PRICE IN STATE OF RESIDENCE 1982 (US$2008)
qsmk,"QUIT SMOKING BETWEEN 1ST QUESTIONNAIRE AND 1982, 1:YES, 0:NO"
race,0: WHITE 1: BLACK OR OTHER IN 1971
sbp,SYSTOLIC BLOOD PRESSURE IN 1982
school,HIGHEST GRADE OF REGULAR SCHOOL EVER  IN 1971
seqn,UNIQUE PERSONAL IDENTIFIER
sex,0: MALE 1: FEMALE
smokeintensity,NUMBER OF CIGARETTES SMOKED PER DAY IN 1971
smkintensity 82_71,INCREASE IN NUMBER OF CIGARETTES/DAY BETWEEN 1971 and 1982
smokeyrs,YEARS OF SMOKING
tax71,TOBACCO TAX IN STATE OF RESIDENCE 1971 (US$2008)
tax71_82,DIFFERENCE IN TOBACCO TAX IN STATE OF RESIDENCE 1971-1982 (US$2008)
tax82,TOBACCO TAX IN STATE OF RESIDENCE 1971 (US$2008)
tb,"DX TUBERCULOSIS IN 1971,  1:EVER, 0:NEVER"
tumor,"DX MALIGNANT TUMOR/GROWTH IN 1971,  1:EVER, 0:NEVER"
weakheart,"USE WEAK HEART MEDICATION IN 1971,  1:EVER, 0:NEVER"
wt71,WEIGHT IN KILOGRAMS  IN 1971
wt82,WEIGHT IN KILOGRAMS  IN 1982
wt82_71,WEIGHT CHANGE IN KILOGRAMS
wtloss,"USE WEIGHT LOSS MEDICATION IN 1971,  1:EVER, 0:NEVER"
yrdth,YEAR OF DEATH
